trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode,generator,W,temperature,semantic_seed,stochastic_seed,source,generation_run_id
or-qwen3-8b__W8192__T0p7__physics__s1,True,96,88,0.181818,1,0.0568417,0,0.664843,1,0.0770558,0.266886,0.477009,7.46009,0.443023,0.00249778,1,2,or-qwen3-8b,8192,0.7,physics,1,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T0p7__physics__s2,True,96,88,0.659091,1,0.108008,0,0.755889,1,0.108703,0.562753,0.463336,7.39152,0.425517,0.0109537,1,3,or-qwen3-8b,8192,0.7,physics,2,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T0p7__surreal__s1,True,96,88,0.988636,0.977273,0.0982074,0,0.557025,1,0.393107,0.530061,0.263385,6.93684,0.287512,-0.0028663,1,3,or-qwen3-8b,8192,0.7,surreal,1,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T0p7__surreal__s2,True,95,87,0.793103,0.965517,0.19355,0,0.00780031,1,0.10864,0.320463,0.425278,7.412,0.446192,-0.00591552,0,1,or-qwen3-8b,8192,0.7,surreal,2,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1__physics__s1,True,96,88,0.0227273,1,0.140283,0,0.979695,1,0.0282052,0.168142,0.580835,7.96068,0.457443,0.00260593,1,2,or-qwen3-8b,8192,1,physics,1,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1__physics__s2,True,96,88,0.988636,1,0.104521,0,0.224806,1,0.715852,0.894928,0.171899,6.43536,0.151633,0.0218183,1,3,or-qwen3-8b,8192,1,physics,2,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1__surreal__s1,True,96,88,0.772727,0.943182,0.398557,0,0.216655,0.998624,0.135339,0.315385,0.358352,7.1721,0.403051,-0.0146865,1,3,or-qwen3-8b,8192,1,surreal,1,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1__surreal__s2,True,96,88,0.886364,0.977273,0.333077,0,0.144974,0.869742,0.161594,0.629854,0.313749,6.88931,0.391382,-0.00399574,1,3,or-qwen3-8b,8192,1,surreal,2,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1p5__physics__s1,False,95,87,0.0114943,0,0.965454,0.886885,0,0.050791,0.0287681,0.0963303,0.499648,7.78368,0.504086,-0.0239968,0,0,or-qwen3-8b,8192,1.5,physics,1,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1p5__physics__s2,True,96,88,0.431818,0.568182,0.813392,0.443478,0.0228684,0.21875,0.120988,0.619048,0.496447,7.51713,0.422808,-0.137683,1,2,or-qwen3-8b,8192,1.5,physics,2,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1p5__surreal__s1,True,96,88,0,0.579545,0.52331,0,0.122938,1,0.0182289,0.0461538,0.482709,7.74992,0.467453,0.00657216,1,2,or-qwen3-8b,8192,1.5,surreal,1,s4.2,s4-w8192-20260904T120057Z-ce82ce55
or-qwen3-8b__W8192__T1p5__surreal__s2,False,95,87,0.0114943,0.0229885,0.927934,0.597143,0.00263507,0.0132312,0.0393155,0.0863402,0.348423,7.23023,0.431538,-0.00752438,0,0,or-qwen3-8b,8192,1.5,surreal,2,s4.2,s4-w8192-20260904T120057Z-ce82ce55
